style,use_for,core_moves,avoid,implementation_checks
Minimal Swiss,"tools, docs, professional flows, enterprise UI","grid, high contrast, whitespace, strong hierarchy, restrained accent","playful brands, immersive storytelling, decorative portfolios","clear grid; AAA/AA contrast; no unnecessary decoration; responsive spacing"
Editorial,"reports, narratives, premium content, portfolios","large type, asymmetry, pull quotes, strong rhythm, image/text contrast","highly dynamic unknown content without constraints","line length controlled; rhythm across sections; mobile stacking planned"
Brutalist,"counterculture, dev tools, bold media, experimental launches","stark borders, raw blocks, primary colors, visible structure, heavy type","conservative industries, critical workflows needing calm","intentional asymmetry; focus visible; contrast checked; roughness not accidental"
Industrial Utilitarian,"admin, ops, logistics, finance, internal tools","dense grids, labels, status colors, exact alignment, compact controls","marketing-first surfaces needing emotion","scan speed; keyboard efficiency; compact but readable; clear status hierarchy"
Luxury Refined,"premium commerce, hospitality, identity, high-end services","restraint, serif/display type, tactile material, slow rhythm, precise spacing","low-trust transactional flows, data-heavy ops","contrast preserved; imagery quality high; motion restrained; CTA still obvious"
Cybernetic Retrofuture,"crypto, games, monitoring, agentic systems, technical brands","dark layers, signal lines, glow, mono accents, terminal/status language","healthcare/public/legal unless heavily restrained","neon sparse; readable text; reduced motion; status colors semantic"
Organic Biophilic,"health, climate, food, wellness, sustainability","earth palette, soft geometry, texture, breathing space, natural rhythm","financial/legal/security-critical dashboards","hierarchy not muddy; color contrast checked; texture does not reduce readability"
Playful Clay,"education, onboarding, consumer fun, kids/family","rounded volume, pastel contrast, friendly icons, tactile feedback","serious finance, medical, legal, high-stakes admin","touch targets large; contrast not pastel-low; bounce not excessive"
Glass Aurora,"premium hero, brand surfaces, visual dashboards","translucency, mesh gradients, layered blur, luminous accents","low-end performance, dense tables, critical text over busy backgrounds","text contrast; blur fallback; limited layers; background supports content"
Data Dense,"analytics, monitoring, BI, admin operations","compact cards, tables, filters, sparklines, status hierarchy","brand storytelling, emotional marketing pages","alignment exact; states complete; filters visible; table overflow handled"
Flat Functional,"MVPs, apps, mobile-friendly flows, cross-platform UI","solid colors, no heavy effects, clean icons, quick transitions","luxury/premium storytelling, immersive product showcases","limited palette; fast; focus states; no fake depth"
Motion Driven,"portfolios, storytelling, demos, launches","scroll reveals, parallax, entrance transitions, microinteractions","dashboards, motion-sensitive or low-power contexts","transform/opacity; reduced motion; motion has purpose; no blocking sequences"
Accessible Ethical,"public services, healthcare, education, finance, broad audience","high contrast, large readable text, keyboard flow, explicit labels, stable layout","none; accessibility is universal","semantic structure; focus ring; contrast; no color-only meaning; reduced motion"
Hero Centric,"landing pages, launches, product announcements","strong promise, high-contrast CTA, visual proof, above-fold clarity","complex products needing comparison before action","one CTA; headline readable; hero media optimized; mobile crop planned"
Conversion Focused,"signup, checkout starts, lead gen, pricing","minimal distraction, trust near risk, form clarity, repeated CTA","exploratory education where pressure hurts trust","few fields; visible trust; loading/success/error; form mobile-ready"
Trust Authority,"finance, legal, healthcare, B2B services","credentials, case results, compliance, sober palette, proof close to claims","playful consumer products unless reframed","claims sourced; security/privacy visible; contrast high; contact path clear"
Storytelling,"mission, fundraising, premium brands, founder/product stories","chapters, emotional arc, timeline, proof beats, pattern breaks","time-critical tools, dense admin","one idea per section; skip/scan possible; final CTA resolves story"
Realtime Monitoring,"ops, IoT, markets, DevOps, live events","freshness, connection state, alert severity, streaming charts, recovery actions","static reports, long-form narrative","updates stable; stale/offline state; alerts ranked; no distracting redraws"
