product_category,pattern_bias,visual_bias,must_have,avoid
B2B SaaS,"hero + proof + feature showcase","trust, clarity, restrained polish","case studies, ROI, integration clarity, security/support signals","empty hype, generic purple gradients, hidden pricing logic"
Micro SaaS,"hero + demo + waitlist/trial","simple promise, personality, fast path","one sharp use case, demo, pricing or waitlist clarity","feature sprawl, vague audience"
Finance,"trust + dashboard + comparison","high contrast, precise typography, sober status colors","fees, risk, security state, auditability, transaction feedback","playful ambiguity, unclear money movement"
Crypto/Web3,"trust + realtime + wallet/transaction states","dark or high-contrast, signal/status language, gold/blue accents","wallet state, gas/fees, pending/failure/success transaction feedback","neon overload, hidden risk, unexplained jargon"
Healthcare,"accessible direct flow","calm palette, large readable type, high contrast","privacy, safety, appointment/medication clarity, error recovery","motion overload, tiny text, vague critical actions"
Public Service,"minimal direct + accessibility","official clarity, high contrast, low ornament","keyboard support, plain language, forms, document/status clarity","decorative complexity, low contrast, hidden routes"
Education,"progress + friendly structure","warm, clear, encouraging, playful if appropriate","progress, next lesson/action, feedback, completion state","dark complexity, jargon, unclear achievement"
Creative Portfolio,"storytelling + artifact showcase","expressive type, motion, strong art direction","work samples, process, contact, case study context","corporate template, hidden portfolio"
E-commerce,"product showcase + conversion","product imagery, price/stock clarity, trust","cart state, shipping, returns, reviews, payment trust","unclear pricing, weak product photos, hidden costs"
Luxury Commerce,"storytelling + product detail","restrained, tactile, premium imagery, slow rhythm","image quality, material detail, guarantee/service, clear purchase path","cheap effects, poor contrast, over-fast motion"
Productivity,"operational flow + quick actions","efficient, clean, keyboard-friendly","shortcuts, preserved state, undo, batch actions","slow onboarding, hidden primary action"
Analytics,"dashboard + drilldown","data-dense, calm, chart-first, filter clarity","filters, export/share, data freshness, empty states","ornamental charts, no context, color-only meaning"
Monitoring/Ops,"realtime dashboard","dense, severity-coded, stable, fast","alerts, freshness, connection, recovery path, logs/detail","static status, distracting animation, no stale state"
Marketplace,"trust + search/filter + listing cards","category clarity, reviews, seller trust","search, filters, profiles, secure payment, report/safety","low trust signals, confusing comparison"
Legal Services,"trust authority + conversion","navy/gold/neutral, formal typography","credentials, case areas, contact, consultation path","playful style, hidden credentials, vague outcomes"
Restaurant/Food,"hero + menu + conversion","warm, appetizing, image-led","menu, hours, location, booking/order, delivery info","low-quality imagery, outdated hours"
Travel/Hospitality,"storytelling + booking","immersive imagery, itinerary rhythm, warm trust","availability, booking, policies, map/location, gallery","complex booking, generic photos"
Games/Entertainment,"immersive showcase","kinetic, high contrast, stylized, media-rich","trailer/media, platform info, community/social proof","minimalist static pages unless intentionally indie"
AI/Agent Product,"interactive demo + trust","calm intelligence, conversational UI, context/status visibility","capabilities, limits, privacy, latency/loading, error recovery","magic claims, hidden model state, anthropomorphic confusion"
Design System/Docs,"documentation + live examples","minimal, accessible, code-friendly","search, examples, tokens, variants, copyable snippets","no live preview, poor navigation"
